experiment,variant,split,accuracy,f1_macro
round4_ensemble_variants,ens_medium_deep|kept=24,cv,0.855,0.8568247080864597
round4_ensemble_variants,ens_medium_deep|kept=24,test,0.87,0.8709286375810369
round4_ensemble_variants,ens_medium_deep|kept=24,train,0.9193333333333333,0.9200192669968511
round4_ensemble_variants,ens_small_deep|kept=24,cv,0.8525,0.8542799389499015
round4_ensemble_variants,ens_small_deep|kept=24,test,0.87,0.8711498284025151
round4_ensemble_variants,ens_small_deep|kept=24,train,0.9133333333333333,0.9142454472038727
round4_ensemble_variants,ens_three_nns|kept=36,cv,0.855,0.8569894821123122
round4_ensemble_variants,ens_three_nns|kept=36,test,0.8733333333333333,0.8743574221579533
round4_ensemble_variants,ens_three_nns|kept=36,train,0.9066666666666666,0.9076310286143817
round4_seed_sensitivity,nn_medium_rs=105,cv,0.8625,0.86371826197146
round4_seed_sensitivity,nn_medium_rs=105,test,0.88,0.8815789143785248
round4_seed_sensitivity,nn_medium_rs=105,train,0.8853333333333333,0.8861956485662804
round4_seed_sensitivity,nn_medium_rs=120,cv,0.875,0.8767712847598411
round4_seed_sensitivity,nn_medium_rs=120,test,0.85,0.851354639844257
round4_seed_sensitivity,nn_medium_rs=120,train,0.9073333333333333,0.9081962821146542
round4_seed_sensitivity,nn_medium_rs=45,cv,0.8675,0.8687356806165644
round4_seed_sensitivity,nn_medium_rs=45,test,0.8766666666666667,0.8778979583490861
round4_seed_sensitivity,nn_medium_rs=45,train,0.8873333333333333,0.8882076042049228
round4_seed_sensitivity,nn_medium_rs=59,cv,0.8525,0.8540214039657866
round4_seed_sensitivity,nn_medium_rs=59,test,0.8833333333333333,0.8844891115567807
round4_seed_sensitivity,nn_medium_rs=59,train,0.8836666666666667,0.8845916237300754
round4_single_baseline,kmeanspp,cv,0.5775,0.5748788058753255
round4_single_baseline,kmeanspp,test,0.6266666666666667,0.6220076739673605
round4_single_baseline,kmeanspp,train,0.605,0.6005455161557437
round4_single_baseline,kmedoids,cv,0.585,0.5692182146427949
round4_single_baseline,kmedoids,test,0.6333333333333333,0.6214967317032177
round4_single_baseline,kmedoids,train,0.5953333333333334,0.5834964309040586
round4_single_baseline,knn,cv,0.775,0.7778950192382365
round4_single_baseline,knn,test,0.7866666666666666,0.7885822510822512
round4_single_baseline,knn,train,1.0,1.0
round4_single_baseline,nn_deep,cv,0.865,0.8662862813197717
round4_single_baseline,nn_deep,test,0.8466666666666667,0.848385642135642
round4_single_baseline,nn_deep,train,0.8983333333333333,0.8991738352703669
round4_single_baseline,nn_medium,cv,0.8675,0.8687356806165644
round4_single_baseline,nn_medium,test,0.8766666666666667,0.8778979583490861
round4_single_baseline,nn_medium,train,0.8873333333333333,0.8882076042049228
round4_single_baseline,nn_small,cv,0.85,0.85235945157205
round4_single_baseline,nn_small,test,0.8666666666666667,0.8678631410590173
round4_single_baseline,nn_small,train,0.877,0.8783168158534149
round4_stacking,stack_top4_C=0.2,cv,0.8675,0.8686383060049859
round4_stacking,stack_top4_C=0.2,test,0.8566666666666667,0.8575171982489055
round4_stacking,stack_top4_C=0.2,train,0.8596666666666667,0.8606352342781558
round4_stacking,stack_top4_C=0.6,cv,0.865,0.8660598935851044
round4_stacking,stack_top4_C=0.6,test,0.85,0.8506069780907609
round4_stacking,stack_top4_C=0.6,train,0.8616666666666667,0.8624345273953372
round4_stacking,stack_top4_C=1.0,cv,0.865,0.8660598935851044
round4_stacking,stack_top4_C=1.0,test,0.85,0.8506069780907609
round4_stacking,stack_top4_C=1.0,train,0.8616666666666667,0.8624010492728083
round4_stacking,stack_top4_C=2.0,cv,0.8675,0.8684484880148537
round4_stacking,stack_top4_C=2.0,test,0.8466666666666667,0.8471440702236196
round4_stacking,stack_top4_C=2.0,train,0.8623333333333333,0.8630652817912018
