buyer_income_lpa,house_price_lakh,loan_eligibility,credit_score,down_payment_percent,existing_emi_lpa,employment_years,dependents,property_location_score,employment_type,can_buy
12.04,82.23,no,596,10.56,4.15,9,1,5,self_employed,no
31.19,246.32,no,660,24.18,7.09,12,2,7,salaried,no
13.76,153.57,no,489,11.42,8.96,3,1,6,self_employed,no
29.72,157.34,yes,708,37.15,4.15,11,4,1,salaried,yes
18.81,191.75,yes,747,14.85,6.48,9,1,8,self_employed,neutral
30.92,166.24,no,637,16.2,4.38,5,2,9,salaried,neutral
34.32,188.91,yes,745,17.82,7.17,10,2,5,salaried,yes
7.16,59.95,yes,694,14.14,0.9,5,1,4,self_employed,neutral
42.41,216.76,yes,783,19.46,4.12,14,5,4,business,yes
8.23,81.51,no,539,10.63,3.27,12,4,4,self_employed,no
12.13,67.67,yes,740,10.43,2.94,1,1,10,salaried,yes
28.77,243.17,no,698,24.14,10.48,17,1,7,salaried,no
10.01,81.18,yes,709,11.92,1.5,6,2,2,self_employed,neutral
24.2,86.74,no,676,21.05,6.21,15,0,6,salaried,neutral
24.7,228.92,yes,701,42.09,8.06,18,3,7,business,yes
18.29,218.29,no,493,14.7,7.82,2,0,2,salaried,no
30.86,136.63,yes,828,51.16,4.52,13,5,3,salaried,yes
4.39,38.69,yes,817,14.72,0.62,3,5,2,salaried,neutral
82.12,379.82,yes,820,34.44,26.36,9,0,4,self_employed,yes
16.58,92.1,no,673,27.35,1.44,13,3,8,business,neutral
92.3,324.55,yes,809,31.75,14.14,17,0,6,business,yes
5.36,52.21,no,591,5.41,1.54,13,3,2,self_employed,no
9.8,72.87,yes,707,5.96,3.13,8,0,4,salaried,neutral
20.08,97.97,no,601,27.23,3.85,12,2,6,business,no
35.78,336.65,yes,831,30.46,5.72,11,2,7,self_employed,yes
13.14,181.76,no,569,5.54,6.78,5,4,4,salaried,no
21.6,140.36,yes,704,20.03,3.87,6,1,1,self_employed,neutral
30.34,216.79,no,845,52.02,6.8,17,1,4,salaried,neutral
10.05,63.38,yes,540,18.9,2.75,5,3,8,salaried,neutral
20.14,237.1,yes,645,14.48,5.31,2,3,9,salaried,neutral
8.36,76.88,yes,900,10.83,3.67,4,3,2,self_employed,neutral
24.57,133.0,yes,685,8.62,1.74,6,5,4,self_employed,yes
6.26,113.96,no,641,11.83,1.2,5,1,8,salaried,no
25.49,315.57,no,490,11.93,10.97,3,2,8,business,no
38.43,112.48,yes,705,34.3,8.02,25,2,4,salaried,yes
16.75,89.9,no,660,7.09,6.85,4,3,8,business,no
15.39,125.82,yes,700,23.54,2.7,9,1,10,business,yes
48.43,152.29,yes,808,47.27,8.62,7,0,7,salaried,yes
20.82,161.46,no,737,27.34,7.42,8,3,5,self_employed,no
10.33,63.06,no,593,15.73,2.29,6,2,6,business,no
33.3,144.88,no,723,21.66,2.87,10,1,5,salaried,neutral
13.8,56.39,no,709,16.76,1.58,3,1,7,salaried,neutral
25.74,59.17,yes,725,8.2,2.18,21,1,9,salaried,yes
10.25,110.52,no,644,6.44,3.88,2,0,6,salaried,no
30.39,159.39,no,719,13.69,6.02,14,2,2,self_employed,neutral
38.95,98.31,yes,784,19.6,8.24,23,0,6,salaried,yes
3.42,27.14,no,544,6.7,0.78,3,3,10,salaried,no
16.22,117.72,yes,713,25.76,2.92,16,1,2,business,yes
53.25,264.97,yes,752,20.36,5.24,17,0,7,salaried,yes
37.39,177.09,yes,790,35.83,3.63,8,2,5,salaried,yes
7.82,78.82,yes,651,10.51,3.51,4,0,7,business,no
29.93,241.01,yes,483,18.55,11.32,10,4,3,business,neutral
7.86,82.31,no,670,17.73,3.94,7,1,5,salaried,no
23.47,249.89,no,720,5.82,13.91,15,2,6,salaried,no
3.36,20.0,yes,616,8.76,0.39,4,1,8,business,neutral
17.38,163.58,yes,637,19.0,4.81,12,1,2,business,neutral
34.84,170.26,yes,860,52.66,3.45,14,3,7,business,yes
51.35,155.87,yes,736,45.98,7.2,7,3,5,salaried,yes
15.55,70.23,yes,739,18.07,2.09,18,0,6,salaried,yes
7.78,41.94,no,628,10.63,1.96,10,4,1,salaried,neutral
6.38,53.5,no,519,6.8,2.64,8,4,3,salaried,no
14.09,136.9,yes,649,16.5,1.46,10,2,2,business,neutral
11.9,105.27,no,702,10.42,2.23,9,2,8,salaried,no
28.1,200.3,no,491,15.35,9.19,11,1,9,self_employed,no
10.99,105.83,yes,900,15.24,5.03,2,1,10,business,neutral
12.82,92.65,yes,689,17.35,2.53,2,2,7,salaried,yes
13.59,93.3,yes,602,25.78,4.73,11,4,8,business,neutral
31.26,255.88,yes,778,29.93,11.35,14,2,2,salaried,yes
4.77,47.51,yes,630,9.5,1.74,7,3,1,self_employed,neutral
14.96,104.16,yes,556,18.33,3.41,9,2,6,salaried,neutral
69.25,394.99,no,748,58.66,25.94,5,1,3,business,neutral
37.39,535.72,yes,817,45.89,13.27,5,2,8,business,yes
20.04,146.84,no,593,10.48,7.93,9,5,4,salaried,no
65.86,277.67,yes,797,34.89,18.39,28,4,3,salaried,yes
21.16,135.79,yes,712,31.11,5.74,10,4,10,salaried,yes
7.32,108.35,no,648,19.59,1.31,2,0,9,salaried,no
54.75,330.17,yes,766,33.87,8.74,2,0,8,business,yes
23.95,374.45,yes,762,21.59,9.93,10,2,6,business,no
39.46,498.36,yes,710,33.34,5.07,16,1,4,business,neutral
11.36,124.78,no,592,1.68,5.33,11,0,6,self_employed,no
32.83,288.79,yes,735,31.42,12.39,13,4,9,salaried,yes
27.27,215.13,yes,781,15.45,8.34,13,1,4,salaried,yes
14.42,73.58,no,726,18.73,2.18,14,3,9,self_employed,neutral
14.71,141.1,yes,683,13.52,3.74,3,5,8,salaried,neutral
8.17,82.7,yes,764,14.01,1.48,9,2,7,self_employed,yes
45.12,235.32,yes,755,55.69,7.53,23,1,9,salaried,yes
8.59,90.42,no,625,14.67,4.17,5,2,2,salaried,no
51.97,517.74,yes,737,23.83,12.09,18,4,6,business,yes
11.38,166.84,yes,529,22.14,2.04,7,3,7,salaried,no
6.86,59.77,no,578,2.66,2.74,12,3,2,salaried,no
4.98,46.66,no,787,16.73,0.99,9,2,1,self_employed,no
23.98,139.15,yes,689,18.08,7.15,5,0,8,salaried,yes
12.35,129.69,yes,657,11.66,6.0,7,4,6,business,no
6.52,44.64,no,797,11.76,1.53,7,3,10,self_employed,no
9.66,168.26,yes,641,9.0,2.73,10,1,2,self_employed,no
8.69,63.2,no,591,9.68,4.76,3,2,5,self_employed,no
13.25,79.22,no,694,5.41,9.05,7,3,9,self_employed,no
22.18,149.74,no,728,26.01,3.54,14,5,6,salaried,no
17.09,174.37,no,828,22.46,3.0,15,1,8,self_employed,neutral
21.4,136.42,yes,702,9.81,7.63,12,5,1,salaried,yes
11.06,84.07,no,470,10.26,3.5,5,2,2,self_employed,no
81.73,255.98,yes,655,44.37,22.02,15,0,10,salaried,yes
28.35,177.77,yes,691,13.88,7.42,4,6,7,self_employed,neutral
6.39,47.21,no,650,7.83,1.71,13,4,6,business,no
59.76,215.64,yes,818,26.54,16.33,12,2,6,business,yes
16.38,152.8,yes,726,33.2,1.96,11,1,2,salaried,yes
8.28,126.29,no,731,18.64,1.6,10,3,9,business,no
20.79,339.23,yes,783,36.86,4.63,10,4,3,business,neutral
57.49,436.82,yes,753,29.9,18.19,5,1,4,self_employed,yes
44.8,226.79,yes,840,41.81,7.48,11,5,6,self_employed,yes
9.41,118.22,yes,749,18.48,1.07,5,0,6,salaried,neutral
35.33,255.36,yes,831,32.06,7.87,15,4,4,salaried,yes
37.13,199.51,yes,605,17.55,10.42,8,1,8,salaried,neutral
6.21,64.27,no,629,10.45,2.37,8,4,7,salaried,no
21.62,206.71,yes,729,20.35,8.71,6,1,2,salaried,neutral
19.57,93.27,yes,645,26.64,2.66,15,4,2,salaried,yes
12.39,101.31,yes,470,18.24,2.81,6,1,7,business,neutral
12.84,195.26,no,470,7.88,3.47,6,5,9,self_employed,no
19.54,125.93,yes,806,17.04,6.7,20,0,8,self_employed,yes
19.58,146.8,no,609,2.79,5.74,16,3,10,self_employed,no
3.05,20.0,yes,763,12.73,1.55,5,2,10,self_employed,neutral
45.61,245.87,yes,810,54.59,8.09,7,0,7,salaried,yes
18.72,134.51,no,593,9.87,6.91,6,2,10,self_employed,no
31.5,140.13,no,730,13.16,9.13,14,1,10,salaried,neutral
10.87,59.71,yes,644,9.9,2.27,9,1,6,salaried,yes
13.87,73.88,yes,755,23.77,2.82,16,5,8,self_employed,yes
18.83,80.67,no,678,30.54,2.5,7,2,8,salaried,neutral
11.57,142.54,no,558,16.16,3.24,4,1,4,salaried,no
27.96,109.36,no,694,19.51,5.51,9,5,6,salaried,neutral
24.77,547.54,yes,652,14.39,8.31,11,4,7,salaried,no
15.66,108.93,yes,750,19.35,5.91,7,2,1,self_employed,neutral
5.29,74.15,no,617,13.49,2.3,9,0,5,self_employed,no
38.12,390.6,yes,788,37.64,8.97,3,1,6,salaried,yes
16.24,93.87,no,692,19.64,1.99,9,1,8,salaried,neutral
14.55,72.36,yes,801,26.03,3.22,19,4,1,salaried,yes
15.39,69.32,yes,647,4.64,4.95,11,1,3,self_employed,neutral
21.9,127.01,yes,716,14.76,4.42,7,1,9,self_employed,yes
34.39,136.83,no,645,24.98,9.58,20,2,8,self_employed,neutral
12.55,106.18,yes,790,21.38,5.25,2,2,6,salaried,neutral
19.57,122.35,yes,630,9.54,4.7,18,3,3,self_employed,neutral
19.21,158.48,yes,717,7.24,2.69,14,3,4,salaried,neutral
12.99,159.47,yes,578,11.67,4.23,8,0,6,salaried,neutral
24.8,228.9,yes,651,22.05,5.49,12,2,8,salaried,yes
9.35,61.78,no,609,7.45,2.85,4,2,3,self_employed,no
18.3,77.95,yes,624,18.24,4.64,10,5,6,self_employed,neutral
4.42,37.05,yes,900,7.08,1.73,2,5,3,business,no
2.77,46.87,yes,654,11.43,1.12,2,3,9,salaried,no
38.75,132.35,yes,872,35.67,12.15,12,4,5,salaried,yes
7.64,54.28,yes,854,7.6,2.41,4,0,7,salaried,neutral
28.46,146.42,yes,682,22.17,5.41,11,2,1,business,yes
22.65,190.58,yes,869,17.86,5.11,14,4,2,salaried,yes
67.3,284.37,yes,719,28.33,7.08,12,0,6,salaried,yes
27.63,173.11,yes,656,17.03,3.86,7,5,6,salaried,neutral
8.79,120.34,no,542,13.8,3.14,12,1,6,salaried,no
5.3,91.71,no,876,16.96,1.62,7,2,1,self_employed,no
19.45,131.1,no,700,28.55,2.05,7,3,8,salaried,no
53.44,242.1,yes,811,44.36,1.27,9,2,9,salaried,yes
7.66,139.0,no,790,12.59,2.28,3,2,8,business,no
8.45,102.34,yes,706,8.71,2.41,4,4,7,self_employed,neutral
48.27,139.93,yes,871,53.84,7.38,16,5,8,salaried,yes
23.15,158.38,yes,777,28.51,5.2,5,4,5,business,yes
31.71,192.34,yes,806,25.5,4.93,19,2,7,self_employed,yes
48.51,292.41,no,740,35.58,1.79,17,1,8,salaried,neutral
16.47,97.11,yes,729,35.23,7.48,7,5,8,self_employed,neutral
26.44,238.19,yes,707,27.34,10.33,16,2,6,salaried,neutral
19.36,136.09,no,657,18.0,5.04,7,3,8,salaried,no
75.2,410.72,yes,769,27.75,19.19,3,1,9,business,yes
6.78,76.85,no,678,5.54,2.68,2,4,6,salaried,no
14.93,94.36,yes,668,17.99,4.5,6,3,3,business,neutral
3.86,33.97,yes,537,20.61,1.46,4,5,8,self_employed,no
70.53,349.53,yes,765,55.23,12.66,20,1,6,self_employed,yes
52.49,408.63,no,742,37.33,17.82,10,3,10,salaried,neutral
51.33,218.45,yes,737,36.73,9.46,7,6,7,salaried,yes
24.75,124.12,yes,770,24.06,3.69,6,4,8,self_employed,yes
8.72,123.16,no,564,8.41,4.92,14,6,4,self_employed,no
11.18,135.45,no,727,17.54,5.46,11,2,6,salaried,no
51.08,365.1,no,676,27.62,11.57,19,6,4,business,no
24.23,192.29,yes,683,30.0,1.59,9,2,1,self_employed,yes
13.43,164.79,yes,746,16.0,4.22,3,1,9,self_employed,neutral
17.45,98.91,no,538,10.04,11.93,14,6,8,self_employed,no
52.94,370.4,yes,791,30.53,9.51,15,2,4,business,yes
30.52,122.53,yes,765,30.81,9.3,9,2,3,salaried,yes
47.89,158.28,yes,759,59.44,3.92,5,3,7,salaried,yes
9.2,89.03,no,535,15.73,2.37,4,1,2,self_employed,no
11.66,111.87,no,756,6.59,4.61,6,6,9,salaried,no
8.59,122.79,no,568,11.9,5.0,9,1,6,self_employed,no
15.77,128.4,no,559,19.63,4.54,12,6,10,self_employed,no
10.97,102.44,no,750,27.73,2.0,15,1,9,business,neutral
39.79,234.99,yes,772,31.55,13.01,9,1,5,salaried,yes
17.2,171.62,yes,765,17.84,3.59,15,2,8,salaried,yes
13.21,158.16,no,689,10.62,3.05,6,2,9,salaried,no
13.31,78.46,yes,772,32.51,2.99,7,0,4,business,yes
4.56,46.64,no,746,12.62,1.27,9,3,8,salaried,no
30.57,297.05,no,704,53.54,10.34,22,0,5,self_employed,no
13.53,152.84,yes,680,4.71,3.67,9,4,9,business,neutral
31.6,219.46,yes,777,19.87,4.82,21,3,8,business,yes
20.06,84.06,yes,700,18.27,1.91,18,3,4,salaried,yes
33.16,171.6,yes,745,21.51,3.81,9,0,1,business,yes
15.96,189.37,yes,698,11.51,4.09,7,2,7,salaried,yes
11.79,161.37,no,642,12.72,1.91,5,0,3,salaried,no
8.12,109.17,yes,599,8.36,1.76,4,1,7,business,no
37.23,301.25,no,690,21.21,4.32,19,2,5,salaried,no
8.45,68.2,no,688,8.02,2.3,9,0,5,business,no
7.39,46.07,yes,681,3.78,2.41,8,3,4,salaried,neutral
29.72,212.5,yes,693,21.41,11.77,12,0,6,business,neutral
46.53,644.1,yes,635,33.18,6.12,22,0,4,business,neutral
58.72,680.81,no,752,28.14,16.39,12,2,3,business,no
12.65,46.61,no,707,18.64,3.93,10,5,4,salaried,neutral
12.72,219.41,yes,694,10.81,2.86,4,2,8,business,no
14.1,56.73,no,669,15.68,4.33,7,4,4,salaried,neutral
10.26,174.08,yes,769,12.05,2.4,8,2,1,salaried,neutral
4.59,56.25,no,647,12.39,1.26,10,4,7,self_employed,no
8.07,106.34,yes,662,10.44,1.9,3,2,3,salaried,no
7.32,83.88,yes,602,11.79,3.31,5,2,4,salaried,no
17.93,166.69,yes,571,25.5,3.1,16,2,9,salaried,neutral
43.82,385.72,yes,620,48.54,6.47,9,1,4,business,yes
27.59,128.01,yes,664,20.56,10.41,6,5,4,self_employed,neutral
6.22,43.49,yes,669,7.31,0.78,8,4,10,self_employed,neutral
16.35,66.94,no,620,11.31,4.0,12,1,3,salaried,neutral
46.43,420.63,yes,900,32.54,10.47,22,1,7,salaried,yes
29.93,197.41,no,778,25.72,5.83,10,2,10,business,neutral
30.02,148.07,yes,641,10.42,5.01,5,0,6,salaried,yes
22.64,149.89,yes,712,13.33,6.64,16,3,6,salaried,yes
35.19,243.99,yes,723,19.33,3.78,16,1,8,salaried,yes
26.82,234.85,no,751,22.93,5.62,6,2,2,salaried,no
7.55,98.26,yes,759,5.18,2.78,9,2,6,self_employed,no
